"Symbol","Data","Cap","Float"
"CSV","Y",639.74,16.33
"CTAA","Y",NA,NA
"CTB","Y",2890,49.88
"CTBB","Y",NA,NA
"CTDD","Y",NA,NA
"CTK","Y",124.84,46.57
"CTLT","Y",18560,169.45
"CTR","Y",150.93,NA
"CTS","Y",1000,31.51
"CTT","Y",542.74,48.03
"CTVA","Y",35210,743.24
"CUB","Y",2380,31.47
"CUBE","Y",8230,194.01
"CUBI","Y",1040,29.46
"CUK","Y",30070,156.07
"CULP","Y",176.64,11.13
"CURO","Y",551.25,17.64
"CUZ","Y",5390,147.37
"CVA","Y",1780,130.44
"CVE","Y",16110,1260
"CVEO","Y",223,11.22
"CVI","Y",1900,29.32
"CVNA","Y",48800,68.28
"CVS","Y",99290,1310
"CVX","Y",199980,1880
"CW","Y",5100,40.61
"CWEN","Y",2330,NA
"CWH","Y",3790,38.53
"CWK","Y",3800,125.27
"CWT","Y",3030,49.39
"CX","Y",11110,461.45
"CXE","Y",166.12,NA
"CXH","Y",90.56,NA
"CXP","Y",2140,113.22
"CXW","Y",957.35,118.43
"CYD","Y",642.29,15.84
"CYH","Y",1340,112.3
"CZZ","Y",NA,NA
"C","Y",150700,2080
"D","Y",63000,797.94
"DAC","Y",1060,11.39
"DAL","Y",29560,634.51
"DAN","Y",3830,143.4
"DAO","Y",3010,91.08
"DAR","Y",11590,160.12
"DAVA","Y",4010,12.77
"DB","Y",25220,1920
"DBD","Y",1090,71.19
"DBI","Y",1220,59.73
"DBL","Y",294.45,NA
"DCF","Y",NA,NA
"DCI","Y",7590,125.69
"DCO","Y",719.82,10.69
"DCP","Y",4880,89.77
"DD","Y",41190,533.88
"DDD","Y",2330,119.77
"DDF","Y",83.49,NA
"DDS","Y",2010,13.06
"DDT","Y",NA,NA
"DE","Y",119040,310.3
"DEA","Y",1760,80.89
"DECK","Y",9460,27.75
"DEI","Y",5660,165.68
"DELL","Y",76930,256.8
"DEO","Y",105000,581.81
"DESP","Y",864.74,60.65
"DEX","Y",120.67,NA
"DFIN","Y",976.53,32.52
"DFP","Y",596.26,NA
"DFS","Y",30740,304.9
"DG","Y",51620,238.38
"DGX","Y",17080,129.44
"DHF","Y",226.12,NA
"DHI","Y",33610,331.92
"DHR","Y",172220,630.23
"DHT","Y",1020,142.13
"DHX","Y",164.36,46.19
"DIAX","Y",607.33,NA
"DIN","Y",1590,16.12
"DIS","Y",337820,1810
"DK","Y",1560,71.88
"DKL","Y",1660,8.24
"DKS","Y",7300,62.99
"DL","Y",NA,NA
"DLB","Y",10280,64.14
"DLNG","Y",142.38,32.05
"DLR","Y",41900,279.32
"DLX","Y",1720,41.53
"DMB","Y",271.22,NA
"DMO","Y",164.86,NA
"DNOW","Y",1050,108.35
"DNP","Y",3140,NA
"DOC","Y",3890,206.95
"DOOR","Y",3060,24.16
"DOV","Y",20030,142.37
"DOW","Y",48020,742.74
"DPG","Y",529.5,NA
"DPZ","Y",15370,38.41
"DQ","Y",4480,61.19
"DRD","Y",851.63,39.79
"DRE","Y",16670,371.33
"DRH","Y",2070,196
"DRI","Y",18690,129.31
"DRQ","Y",1080,34.43
"DRUA","Y",NA,NA
"DS","Y",274.66,81.89
"DSE","Y",19.81,NA
"DSL","Y",1820,NA
"DSM","Y",395.62,NA
"DSSI","Y",404.2,25.56
"DSU","Y",512.04,NA
"DSX","Y",306.1,65.17
"DS","Y",274.66,81.89
"DT","Y",15090,193.03
"DTE","Y",26830,192.32
"DTF","Y",103.48,NA
"DTJ","Y",NA,NA
"DTW","Y",NA,NA
"DTY","Y",NA,NA
"DUC","Y",NA,NA
"DUK","Y",76370,735.11
"DUKB","Y",NA,NA
"DUKH","Y",NA,NA
"DUK","Y",76370,735.11
"DVA","Y",11770,106.09
"DVD","Y",76.56,14.99
"DVN","Y",15160,624.71
"DX","Y",592.59,26.19
