"Symbol","Security.Name","Data","Cap","Float"
"APPN","Appian Corporation - Class A Common Stock","Y",9050,37.43
"APPS","Digital Turbine, Inc. - Common Stock","Y",6680,86.08
"APRE","Aprea Therapeutics, Inc. - Common Stock","Y",87.77,18.45
"APTO","Aptose Biosciences, Inc. - Common Shares","Y",482.92,84.76
"APTX","Aptinyx Inc. - Common Stock","Y",188.28,55.83
"APVO","Aptevo Therapeutics Inc. - Common Stock","Y",118.76,1.9
"APWC","Asia Pacific Wire  - Common shares, Par value .01 per share","Y",42.72,3.39
"APXT","Apex Technology Acquisition Corporation - Class A Common Stock","Y",492.73,33.65
"APYX","Apyx Medical Corporation - Common Stock","Y",335.95,30.03
"AQB","AquaBounty Technologies, Inc. - Common Stock","Y",393.41,42.42
"AQMS","Aqua Metals, Inc. - Common Stock","Y",174.27,58.74
"AQST","Aquestive Therapeutics, Inc. - Common Stock","Y",153.51,29.64
"ARAV","Aravive, Inc. - Common Stock","Y",107.12,11.23
"ARAY","Accuray Incorporated - Common Stock","Y",487.67,89.74
"ARCB","ArcBest Corporation - Common Stock","Y",1870,24.89
"ARCC","Ares Capital Corporation - Closed End Fund","Y",8560,NA
"ARCE","Arco Platform Limited - Class A Common Shares","Y",1620,28.6
"ARCT","Arcturus Therapeutics Holdings Inc. - Common Stock","Y",950.43,21.45
"ARDS","Aridis Pharmaceuticals Inc. - Common Stock","Y",65.65,6.34
"ARDX","Ardelyx, Inc. - Common Stock","Y",865.88,88.91
"AREC","American Resources Corporation - Class A Common Stock","Y",141,16.28
"ARGX","argenx SE - American Depositary Shares","Y",13930,49.53
"ARKR","Ark Restaurants Corp. - Common Stock","Y",69.03,1.83
"ARLP","Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests","Y",751.84,86.8
"ARNA","Arena Pharmaceuticals, Inc. - Common Stock","Y",4070,57.42
"AROW","Arrow Financial Corporation - Common Stock","Y",529.04,14.99
"ARPO","Aerpio Pharmaceuticals, Inc. - Common Stock","Y",52.54,45.16
"ARQT","Arcutis Biotherapeutics, Inc. - Common stock","Y",1460,27.19
"ARRY","Array Technologies, Inc. - Common Stock","Y",3250,98.98
"ARTL","Artelo Biosciences, Inc. - Common Stock","Y",28.35,13.95
"ARTNA","Artesian Resources Corporation - Class A Non-Voting Common Stock","Y",380.95,8.35
"ARTW","Art's-Way Manufacturing Co., Inc. - Common Stock","Y",14.1,1.82
"ARVN","Arvinas, Inc. - Common Stock","Y",2960,41.19
"ARWR","Arrowhead Pharmaceuticals, Inc. - Common Stock","Y",6990,100.47
"ARYA","ARYA Sciences Acquisition Corp III - Class A Ordinary Shares","Y",229.55,14.95
"ARYB","ARYA Sciences Acquisition Corp II - Class A Ordinary Shares","Y",NA,NA
"ASLN","ASLAN Pharmaceuticals Limited - American Depositary Shares","Y",169.56,37.99
"ASMB","Assembly Biosciences, Inc. - Common Stock","Y",166.21,31.49
"ASML","ASML Holding N.V. - New York Registry Shares","Y",259840,411.88
"ASND","Ascendis Pharma A/S - American Depositary Shares","Y",6660,43.77
"ASO","Academy Sports and Outdoors, Inc. - Common Stock","Y",2890,83.25
"ASPS","Altisource Portfolio Solutions S.A. - Common Stock","Y",127.09,8.73
"ASPU","Aspen Group Inc. - Common Stock","Y",129.97,22.88
"ASRT","Assertio Holdings, Inc. - Common Stock","Y",91.49,171
"ASRV","AmeriServ Financial Inc. - Common Stock","Y",68.4,15.34
"ASRVP","AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A","Y",NA,NA
"ASTC","Astrotech Corporation - Common Stock","Y",57.34,17.75
"ASTE","Astec Industries, Inc. - Common Stock","Y",1720,22.18
"ASUR","Asure Software Inc - Common Stock","Y",147.96,14.63
"ASYS","Amtech Systems, Inc. - Common Stock","Y",147.81,13.81
"ATAX","America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests","Y",345.66,58.39
"ATCX","Atlas Technical Consultants, Inc. - Class A Common Stock","Y",345.61,8.1
"ATEC","Alphatec Holdings, Inc. - Common Stock","Y",1590,63.93
"ATEX","Anterix Inc. - Common Stock","Y",832.86,15.85
"ATHA","Athira Pharma, Inc. - Common Stock","Y",612.89,27.12
"ATHE","Alterity Therapeutics Limited - American Depositary Shares","Y",51.49,15.43
"ATHX","Athersys, Inc. - Common Stock","Y",357.05,178.83
"ATIF","ATIF Holdings Limited - Ordinary Shares","Y",52.12,12.39
"ATLC","Atlanticus Holdings Corporation - Common Stock","Y",530.49,6.5
"ATLO","Ames National Corporation - Common Stock","Y",233.52,9.01
"ATNI","ATN International, Inc. - Common Stock","Y",806.61,11
"ATNX","Athenex, Inc. - Common Stock","Y",383.07,61.59
"ATOM","Atomera Incorporated - Common Stock","Y",465.94,17.39
"ATOS","Atossa Therapeutics, Inc. - Common Stock","Y",183.65,71.52
"ATRA","Atara Biotherapeutics, Inc. - Common Stock","Y",1170,81.54
"ATRC","AtriCure, Inc. - Common Stock","Y",3160,44.43
"ATRI","Atrion Corporation - Common Stock","Y",1170,1.43
"ATRO","Astronics Corporation - Common Stock","Y",524.9,27.05
"ATRS","Antares Pharma, Inc. - Common Stock","Y",676.31,154.2
"ATSG","Air Transport Services Group, Inc - Common Stock","Y",1710,58.19
"ATVI","Activision Blizzard, Inc - Common Stock","Y",75380,762.83
"ATXI","Avenue Therapeutics, Inc. - Common Stock","Y",76.71,6.65
"AUB","Atlantic Union Bankshares Corporation - Common Stock","Y",3050,77.33
"AUBAP","Atlantic Union Bankshares Corporation - Depositary Shares each representing a 1/400th ownership interest in a share of 6.875%Perpetual Non-Cumulative Preferred Stock, Series A","Y",NA,NA
"AUBN","Auburn National Bancorporation, Inc. - Common Stock","Y",126.99,2.28
"AUDC","AudioCodes Ltd. - Ordinary Shares","Y",990.02,24.68
"AUPH","Aurinia Pharmaceuticals Inc - Common Shares","Y",1520,116.02
"AUTL","Autolus Therapeutics plc - American Depositary Shares","Y",389.88,33.9
"AUTO","AutoWeb, Inc. - Common Stock","Y",35.03,8.87
"AUVI","Applied UV, Inc. - Common Stock","Y",87.77,2.71
"AVAV","AeroVironment, Inc. - Common Stock","Y",2630,22.06
"AVCO","Avalon GloboCare Corp. - Common Stock","Y",88.43,27.9
"AVCT","American Virtual Cloud Technologies, Inc.  - Common Stock","Y",141.38,3.61
"AVDL","Avadel Pharmaceuticals plc - American Depositary Shares each representing one Ordinary Share","Y",489.14,35.4
"AVEO","AVEO Pharmaceuticals, Inc. - Common Stock","Y",214.87,23.91
"AVGO","Broadcom Inc. - Common Stock","Y",189110,396.59
"AVGOP","Broadcom Inc. - 8.00% Mandatory Convertible Preferred Stock, Series A","Y",NA,NA
"AVGR","Avinger, Inc. - Common Stock","Y",111.25,94.92
"AVID","Avid Technology, Inc. - Common Stock","Y",935.98,41.27
"AVNW","Aviat Networks, Inc. - Common Stock","Y",339.12,5.11
"AVO","Mission Produce, Inc. - Common Stock","Y",1390,38.52
"AVRO","AVROBIO, Inc. - Common Stock","Y",474.53,33.5
"AVT","Avnet, Inc. - Common Stock","Y",4340,98.56
"AVXL","Anavex Life Sciences Corp. - Common Stock","Y",835.11,67.16
"AWH","Aspira Women's Health Inc. - Common Stock","Y",690.58,57.88
"AWRE","Aware, Inc. - Common Stock","Y",74.27,12.55
"AXAS","Abraxas Petroleum Corporation - Common Stock","Y",22.16,8.15
"AXDX","Accelerate Diagnostics, Inc. - Common Stock","Y",509.71,33.91
"AXGN","Axogen, Inc. - Common Stock","Y",750.8,39.19
"AXGT","Axovant Gene Therapies Ltd. - Common Shares","Y",NA,NA
"AXLA","Axcella Health Inc. - Common Stock","Y",170.06,28.2
"AXNX","Axonics Modulation Technologies, Inc. - Common Stock","Y",2350,33.67
"AXSM","Axsome Therapeutics, Inc. - Common Stock","Y",1910,29.5
"AXTI","AXT Inc - Common Stock","Y",467.4,38.7
"AY","Atlantica Sustainable Infrastructure plc - Ordinary Shares","Y",3970,57.31
"AYLA","Ayala Pharmaceuticals, Inc. - Common Stock","Y",138.91,5.62
"AYRO","AYRO, Inc. - Common Stock","Y",172.62,23.12
"AYTU","Aytu BioScience, Inc. - Common Stock","Y",119.6,15.45
"AZN","AstraZeneca PLC - American Depositary Shares","Y",136190,2600
"AZPN","Aspen Technology, Inc. - Common Stock","Y",10070,67.42
"AZRX","AzurRx BioPharma, Inc. - Common Stock","Y",59.85,73
"AZYO","Aziyo Biologics, Inc. - Class A Common Stock","Y",133.56,6.45
"BAND","Bandwidth Inc. - Class A Common Stock","Y",3290,20.26
"BANF","BancFirst Corporation - Common Stock","Y",2240,18.95
"BANFP","BancFirst Corporation - 7.2% Cumulative Trust Preferred Securities","Y",NA,NA
